,Rank,Movie,year,genre,Runtime,Certificate,Rating
239,240.,The Third Man,1949,"Film-Noir, Mystery, Thriller",104 min,U,8.1
240,241.,The Best Years of Our Lives,1946,"Drama, Romance, War",170 min,,8.1
241,242.,Rebecca,1940,"Drama, Film-Noir, Mystery",130 min,,8.1
242,243.,The Grapes of Wrath,1940,Drama,129 min,,8.1
243,244.,The Wizard of Oz,1939,"Adventure, Family, Fantasy",102 min,U,8.1
244,245.,Mr. Smith Goes to Washington,1939,"Comedy, Drama",129 min,U,8.1
245,246.,It Happened One Night,1934,"Comedy, Romance",105 min,,8.1
246,247.,The Incredibles,2004,"Animation, Action, Adventure",115 min,U,8.0
247,248.,Aladdin,1992,"Animation, Adventure, Comedy",90 min,U,8.0
248,249.,Beauty and the Beast,1991,"Animation, Family, Fantasy",84 min,U,8.0
249,250.,Life of Brian,1979,Comedy,94 min,,8.0
